gap,mean_pct,p95,p5,days_from_complete
0,0.7369853240535922,0.9460084060898245,0.4908182361231671,12
1,0.8376691670521075,0.9574225030064416,0.6961466351343321,11
2,0.8858303617193336,0.9798324771507767,0.7970657821968007,10
3,0.9203700883321585,0.9959348441926346,0.8240556158953652,9
4,0.9408550155661467,0.9954962136309287,0.8784248951761895,8
5,0.9568985048915641,0.9973526343244653,0.9024926192026519,7
6,0.9652705546395239,0.9957365364308343,0.9138592686404816,6
7,0.9704114731488035,0.99630238322115,0.9151884172125031,5
8,0.9757757062339796,0.9951698630395193,0.9418177780985106,4
9,0.9810724163680764,0.998510817645406,0.944868059878162,3
10,0.9833803473869577,1,0.9583162525823933,2
11,0.9853034716154367,0.999956369982548,0.9706514493607982,1
12,0.9872968608909577,0.9983719983719984,0.9700713236990198,0